,Facility,Year,Media Type,Chemical,Releases (lb),Parent_Company
0,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Methanol,228423.0,TECK AMERICAN INC
1,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Zinc and zinc compounds,23076.0,TECK AMERICAN INC
2,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Lead and lead compounds,9244.0,TECK AMERICAN INC
3,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Copper and copper compounds,252.0,TECK AMERICAN INC
4,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Cadmium and cadmium compounds,95.0,TECK AMERICAN INC
5,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Polycyclic aromatic compounds,10.4,TECK AMERICAN INC
6,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Mercury and mercury compounds,9.0,TECK AMERICAN INC
7,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Chromium and chromium compounds,3.0,TECK AMERICAN INC
8,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Manganese and manganese compounds,3.0,TECK AMERICAN INC
9,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Nickel and nickel compounds,2.0,TECK AMERICAN INC
10,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Dioxin and dioxin-like compounds,0.00039249,TECK AMERICAN INC
31,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Methanol,246961.0,TECK AMERICAN INC
32,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Zinc and zinc compounds,21455.0,TECK AMERICAN INC
33,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Lead and lead compounds,7629.0,TECK AMERICAN INC
34,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Copper and copper compounds,496.0,TECK AMERICAN INC
35,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Cadmium and cadmium compounds,95.0,TECK AMERICAN INC
36,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Polycyclic aromatic compounds,10.5,TECK AMERICAN INC
37,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Mercury and mercury compounds,10.0,TECK AMERICAN INC
38,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Manganese and manganese compounds,4.0,TECK AMERICAN INC
39,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Chromium and chromium compounds,3.0,TECK AMERICAN INC
40,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Nickel and nickel compounds,3.0,TECK AMERICAN INC
41,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Dioxin and dioxin-like compounds,0.00039249,TECK AMERICAN INC
63,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Methanol,241392.0,TECK AMERICAN INC
64,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Zinc and zinc compounds,20594.0,TECK AMERICAN INC
65,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Lead and lead compounds,6592.0,TECK AMERICAN INC
66,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Copper and copper compounds,496.0,TECK AMERICAN INC
67,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Cadmium and cadmium compounds,95.0,TECK AMERICAN INC
68,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Polycyclic aromatic compounds,11.3,TECK AMERICAN INC
69,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Mercury and mercury compounds,9.0,TECK AMERICAN INC
70,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Manganese and manganese compounds,4.0,TECK AMERICAN INC
71,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Chromium and chromium compounds,3.0,TECK AMERICAN INC
72,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Nickel and nickel compounds,3.0,TECK AMERICAN INC
73,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Dioxin and dioxin-like compounds,0.000412335,TECK AMERICAN INC
93,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Methanol,204933.0,TECK AMERICAN INC
94,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Zinc and zinc compounds,17481.0,TECK AMERICAN INC
95,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Lead and lead compounds,7039.0,TECK AMERICAN INC
96,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Naphthalene,348.0,TECK AMERICAN INC
97,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Copper and copper compounds,78.0,TECK AMERICAN INC
98,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Polycyclic aromatic compounds,11.6,TECK AMERICAN INC
99,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Mercury and mercury compounds,8.0,TECK AMERICAN INC
100,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Manganese and manganese compounds,5.0,TECK AMERICAN INC
101,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Chromium and chromium compounds,4.0,TECK AMERICAN INC
102,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Nickel and nickel compounds,3.0,TECK AMERICAN INC
103,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Dioxin and dioxin-like compounds,0.000425565,TECK AMERICAN INC
121,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Methanol,354168.0,TECK AMERICAN INC
122,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Zinc and zinc compounds,17192.0,TECK AMERICAN INC
123,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Lead and lead compounds,7270.0,TECK AMERICAN INC
124,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Naphthalene,352.0,TECK AMERICAN INC
125,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Cadmium and cadmium compounds,108.0,TECK AMERICAN INC
126,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Copper and copper compounds,77.0,TECK AMERICAN INC
127,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Polycyclic aromatic compounds,12.0,TECK AMERICAN INC
128,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Mercury and mercury compounds,8.0,TECK AMERICAN INC
129,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Chromium and chromium compounds,3.0,TECK AMERICAN INC
130,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Manganese and manganese compounds,3.0,TECK AMERICAN INC
131,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Nickel and nickel compounds,3.0,TECK AMERICAN INC
132,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Dioxin and dioxin-like compounds,0.0004275494999999999,TECK AMERICAN INC
151,RED DOG OPERATIONS - 99752RDDGP90MIL,2012,Air,Methanol,235266.0,TECK AMERICAN INC
152,RED DOG OPERATIONS - 99752RDDGP90MIL,2012,Air,Zinc and zinc compounds,15230.0,TECK AMERICAN INC
153,RED DOG OPERATIONS - 99752RDDGP90MIL,2012,Air,Lead and lead compounds,5371.7,TECK AMERICAN INC
154,RED DOG OPERATIONS - 99752RDDGP90MIL,2012,Air,Naphthalene,323.0,TECK AMERICAN INC
155,RED DOG OPERATIONS - 99752RDDGP90MIL,2012,Air,Cadmium and cadmium compounds,93.8,TECK AMERICAN INC
156,RED DOG OPERATIONS - 99752RDDGP90MIL,2012,Air,Copper and copper compounds,66.4,TECK AMERICAN INC
157,RED DOG OPERATIONS - 99752RDDGP90MIL,2012,Air,Polycyclic aromatic compounds,11.0,TECK AMERICAN INC
158,RED DOG OPERATIONS - 99752RDDGP90MIL,2012,Air,Mercury and mercury compounds,8.7,TECK AMERICAN INC
159,RED DOG OPERATIONS - 99752RDDGP90MIL,2012,Air,Manganese and manganese compounds,4.0,TECK AMERICAN INC
160,RED DOG OPERATIONS - 99752RDDGP90MIL,2012,Air,Chromium and chromium compounds,3.9,TECK AMERICAN INC
161,RED DOG OPERATIONS - 99752RDDGP90MIL,2012,Air,Nickel and nickel compounds,3.02,TECK AMERICAN INC
162,RED DOG OPERATIONS - 99752RDDGP90MIL,2012,Air,Dioxin and dioxin-like compounds,0.0003946083435,TECK AMERICAN INC
182,RED DOG OPERATIONS - 99752RDDGP90MIL,2013,Air,Methanol,317829.0,TECK AMERICAN INC
183,RED DOG OPERATIONS - 99752RDDGP90MIL,2013,Air,Zinc and zinc compounds,16091.0,TECK AMERICAN INC
184,RED DOG OPERATIONS - 99752RDDGP90MIL,2013,Air,Lead and lead compounds,6525.0,TECK AMERICAN INC
185,RED DOG OPERATIONS - 99752RDDGP90MIL,2013,Air,Naphthalene,349.0,TECK AMERICAN INC
186,RED DOG OPERATIONS - 99752RDDGP90MIL,2013,Air,Cadmium and cadmium compounds,93.4,TECK AMERICAN INC
187,RED DOG OPERATIONS - 99752RDDGP90MIL,2013,Air,Copper and copper compounds,64.6,TECK AMERICAN INC
188,RED DOG OPERATIONS - 99752RDDGP90MIL,2013,Air,Polycyclic aromatic compounds,11.7,TECK AMERICAN INC
189,RED DOG OPERATIONS - 99752RDDGP90MIL,2013,Air,Mercury and mercury compounds,8.7,TECK AMERICAN INC
190,RED DOG OPERATIONS - 99752RDDGP90MIL,2013,Air,Chromium and chromium compounds,3.0,TECK AMERICAN INC
191,RED DOG OPERATIONS - 99752RDDGP90MIL,2013,Air,Nickel and nickel compounds,2.5,TECK AMERICAN INC
192,RED DOG OPERATIONS - 99752RDDGP90MIL,2013,Air,Manganese and manganese compounds,1.0,TECK AMERICAN INC
193,RED DOG OPERATIONS - 99752RDDGP90MIL,2013,Air,Dioxin and dioxin-like compounds,0.0004300770915,TECK AMERICAN INC
213,RED DOG OPERATIONS - 99752RDDGP90MIL,2014,Air,Methanol,167958.0,TECK AMERICAN INC
214,RED DOG OPERATIONS - 99752RDDGP90MIL,2014,Air,Zinc and zinc compounds,30320.16,TECK AMERICAN INC
215,RED DOG OPERATIONS - 99752RDDGP90MIL,2014,Air,Lead and lead compounds,13939.3,TECK AMERICAN INC
216,RED DOG OPERATIONS - 99752RDDGP90MIL,2014,Air,Cadmium and cadmium compounds,385.37,TECK AMERICAN INC
217,RED DOG OPERATIONS - 99752RDDGP90MIL,2014,Air,Copper and copper compounds,293.63,TECK AMERICAN INC
218,RED DOG OPERATIONS - 99752RDDGP90MIL,2014,Air,Ammonia,82.89,TECK AMERICAN INC
219,RED DOG OPERATIONS - 99752RDDGP90MIL,2014,Air,Manganese and manganese compounds,43.4,TECK AMERICAN INC
220,RED DOG OPERATIONS - 99752RDDGP90MIL,2014,Air,Nickel and nickel compounds,37.55,TECK AMERICAN INC
221,RED DOG OPERATIONS - 99752RDDGP90MIL,2014,Air,Chromium and chromium compounds,33.43,TECK AMERICAN INC
222,RED DOG OPERATIONS - 99752RDDGP90MIL,2014,Air,Mercury and mercury compounds,26.46,TECK AMERICAN INC
223,RED DOG OPERATIONS - 99752RDDGP90MIL,2014,Air,Naphthalene,16.37,TECK AMERICAN INC
224,RED DOG OPERATIONS - 99752RDDGP90MIL,2014,Air,Cyanide compounds,0.1,TECK AMERICAN INC
225,RED DOG OPERATIONS - 99752RDDGP90MIL,2014,Air,Dioxin and dioxin-like compounds,0.00038423889,TECK AMERICAN INC
226,RED DOG OPERATIONS - 99752RDDGP90MIL,2014,Air,"Hexane, n-",0.0,TECK AMERICAN INC
227,RED DOG OPERATIONS - 99752RDDGP90MIL,2014,Air,"Trimethylbenzene, 1,2,4-",0.0,TECK AMERICAN INC
250,RED DOG OPERATIONS - 99752RDDGP90MIL,2015,Air,Methanol,203123.0,TECK AMERICAN INC
251,RED DOG OPERATIONS - 99752RDDGP90MIL,2015,Air,Zinc and zinc compounds,21365.06,TECK AMERICAN INC
252,RED DOG OPERATIONS - 99752RDDGP90MIL,2015,Air,Lead and lead compounds,8062.03,TECK AMERICAN INC
253,RED DOG OPERATIONS - 99752RDDGP90MIL,2015,Air,Cadmium and cadmium compounds,384.53,TECK AMERICAN INC
254,RED DOG OPERATIONS - 99752RDDGP90MIL,2015,Air,Copper and copper compounds,293.04,TECK AMERICAN INC
255,RED DOG OPERATIONS - 99752RDDGP90MIL,2015,Air,Ammonia,95.18,TECK AMERICAN INC
256,RED DOG OPERATIONS - 99752RDDGP90MIL,2015,Air,Manganese and manganese compounds,43.31,TECK AMERICAN INC
257,RED DOG OPERATIONS - 99752RDDGP90MIL,2015,Air,Nickel and nickel compounds,37.15000000000001,TECK AMERICAN INC
258,RED DOG OPERATIONS - 99752RDDGP90MIL,2015,Air,Chromium and chromium compounds,33.36,TECK AMERICAN INC
259,RED DOG OPERATIONS - 99752RDDGP90MIL,2015,Air,Mercury and mercury compounds,26.19,TECK AMERICAN INC
260,RED DOG OPERATIONS - 99752RDDGP90MIL,2015,Air,Naphthalene,15.8,TECK AMERICAN INC
261,RED DOG OPERATIONS - 99752RDDGP90MIL,2015,Air,Cyanide compounds,0.1,TECK AMERICAN INC
262,RED DOG OPERATIONS - 99752RDDGP90MIL,2015,Air,Dioxin and dioxin-like compounds,0.0003708368999999999,TECK AMERICAN INC
263,RED DOG OPERATIONS - 99752RDDGP90MIL,2015,Air,"Hexane, n-",0.0,TECK AMERICAN INC
264,RED DOG OPERATIONS - 99752RDDGP90MIL,2015,Air,"Trimethylbenzene, 1,2,4-",0.0,TECK AMERICAN INC
287,RED DOG OPERATIONS - 99752RDDGP90MIL,2016,Air,Methanol,206558.0,TECK AMERICAN INC
288,RED DOG OPERATIONS - 99752RDDGP90MIL,2016,Air,Zinc and zinc compounds,23819.79,TECK AMERICAN INC
289,RED DOG OPERATIONS - 99752RDDGP90MIL,2016,Air,Lead and lead compounds,10753.09,TECK AMERICAN INC
290,RED DOG OPERATIONS - 99752RDDGP90MIL,2016,Air,Ammonia,448.75,TECK AMERICAN INC
291,RED DOG OPERATIONS - 99752RDDGP90MIL,2016,Air,Cadmium and cadmium compounds,384.53,TECK AMERICAN INC
292,RED DOG OPERATIONS - 99752RDDGP90MIL,2016,Air,Copper and copper compounds,293.04,TECK AMERICAN INC
293,RED DOG OPERATIONS - 99752RDDGP90MIL,2016,Air,Manganese and manganese compounds,43.31,TECK AMERICAN INC
294,RED DOG OPERATIONS - 99752RDDGP90MIL,2016,Air,Nickel and nickel compounds,37.16,TECK AMERICAN INC
295,RED DOG OPERATIONS - 99752RDDGP90MIL,2016,Air,Chromium and chromium compounds,33.36,TECK AMERICAN INC
296,RED DOG OPERATIONS - 99752RDDGP90MIL,2016,Air,Mercury and mercury compounds,26.2,TECK AMERICAN INC
297,RED DOG OPERATIONS - 99752RDDGP90MIL,2016,Air,Naphthalene,15.73,TECK AMERICAN INC
298,RED DOG OPERATIONS - 99752RDDGP90MIL,2016,Air,Dioxin and dioxin-like compounds,0.00036936837,TECK AMERICAN INC
299,RED DOG OPERATIONS - 99752RDDGP90MIL,2016,Air,Cyanide compounds,0.0,TECK AMERICAN INC
300,RED DOG OPERATIONS - 99752RDDGP90MIL,2016,Air,"Hexane, n-",0.0,TECK AMERICAN INC
301,RED DOG OPERATIONS - 99752RDDGP90MIL,2016,Air,"Trimethylbenzene, 1,2,4-",0.0,TECK AMERICAN INC
323,RED DOG OPERATIONS - 99752RDDGP90MIL,2017,Air,Methanol,174895.0,TECK AMERICAN INC
324,RED DOG OPERATIONS - 99752RDDGP90MIL,2017,Air,Zinc and zinc compounds,24753.71,TECK AMERICAN INC
325,RED DOG OPERATIONS - 99752RDDGP90MIL,2017,Air,Lead and lead compounds,19932.07,TECK AMERICAN INC
326,RED DOG OPERATIONS - 99752RDDGP90MIL,2017,Air,Ammonia,655.42,TECK AMERICAN INC
327,RED DOG OPERATIONS - 99752RDDGP90MIL,2017,Air,Cadmium and cadmium compounds,399.5700000000001,TECK AMERICAN INC
328,RED DOG OPERATIONS - 99752RDDGP90MIL,2017,Air,Copper and copper compounds,304.49,TECK AMERICAN INC
329,RED DOG OPERATIONS - 99752RDDGP90MIL,2017,Air,Manganese and manganese compounds,45.01,TECK AMERICAN INC
330,RED DOG OPERATIONS - 99752RDDGP90MIL,2017,Air,Nickel and nickel compounds,38.63,TECK AMERICAN INC
331,RED DOG OPERATIONS - 99752RDDGP90MIL,2017,Air,Chromium and chromium compounds,34.66,TECK AMERICAN INC
332,RED DOG OPERATIONS - 99752RDDGP90MIL,2017,Air,Mercury and mercury compounds,27.12,TECK AMERICAN INC
333,RED DOG OPERATIONS - 99752RDDGP90MIL,2017,Air,Naphthalene,15.71,TECK AMERICAN INC
334,RED DOG OPERATIONS - 99752RDDGP90MIL,2017,Air,Dioxin and dioxin-like compounds,0.000368748765,TECK AMERICAN INC
335,RED DOG OPERATIONS - 99752RDDGP90MIL,2017,Air,Cyanide compounds,0.0,TECK AMERICAN INC
336,RED DOG OPERATIONS - 99752RDDGP90MIL,2017,Air,"Hexane, n-",0.0,TECK AMERICAN INC
337,RED DOG OPERATIONS - 99752RDDGP90MIL,2017,Air,"Trimethylbenzene, 1,2,4-",0.0,TECK AMERICAN INC
359,RED DOG OPERATIONS - 99752RDDGP90MIL,2018,Air,Methanol,169673.0,TECK AMERICAN INC
360,RED DOG OPERATIONS - 99752RDDGP90MIL,2018,Air,Zinc and zinc compounds,24058.33,TECK AMERICAN INC
361,RED DOG OPERATIONS - 99752RDDGP90MIL,2018,Air,Lead and lead compounds,18207.03,TECK AMERICAN INC
362,RED DOG OPERATIONS - 99752RDDGP90MIL,2018,Air,Cadmium and cadmium compounds,399.01,TECK AMERICAN INC
363,RED DOG OPERATIONS - 99752RDDGP90MIL,2018,Air,Copper and copper compounds,304.03,TECK AMERICAN INC
364,RED DOG OPERATIONS - 99752RDDGP90MIL,2018,Air,Ammonia,161.0,TECK AMERICAN INC
365,RED DOG OPERATIONS - 99752RDDGP90MIL,2018,Air,Manganese and manganese compounds,44.94,TECK AMERICAN INC
366,RED DOG OPERATIONS - 99752RDDGP90MIL,2018,Air,Nickel and nickel compounds,38.69,TECK AMERICAN INC
367,RED DOG OPERATIONS - 99752RDDGP90MIL,2018,Air,Chromium and chromium compounds,34.59,TECK AMERICAN INC
368,RED DOG OPERATIONS - 99752RDDGP90MIL,2018,Air,Mercury and mercury compounds,27.46,TECK AMERICAN INC
369,RED DOG OPERATIONS - 99752RDDGP90MIL,2018,Air,Naphthalene,14.36,TECK AMERICAN INC
370,RED DOG OPERATIONS - 99752RDDGP90MIL,2018,Air,Dioxin and dioxin-like compounds,0.0018272835,TECK AMERICAN INC
371,RED DOG OPERATIONS - 99752RDDGP90MIL,2018,Air,Cyanide compounds,0.0,TECK AMERICAN INC
372,RED DOG OPERATIONS - 99752RDDGP90MIL,2018,Air,"Hexane, n-",0.0,TECK AMERICAN INC
373,RED DOG OPERATIONS - 99752RDDGP90MIL,2018,Air,"Trimethylbenzene, 1,2,4-",0.0,TECK AMERICAN INC
397,RED DOG OPERATIONS - 99752RDDGP90MIL,2019,Air,Methanol,158879.0,TECK AMERICAN INC
398,RED DOG OPERATIONS - 99752RDDGP90MIL,2019,Air,Zinc and zinc compounds,24540.98,TECK AMERICAN INC
399,RED DOG OPERATIONS - 99752RDDGP90MIL,2019,Air,Lead and lead compounds,15388.85,TECK AMERICAN INC
400,RED DOG OPERATIONS - 99752RDDGP90MIL,2019,Air,Cadmium and cadmium compounds,369.71,TECK AMERICAN INC
401,RED DOG OPERATIONS - 99752RDDGP90MIL,2019,Air,Copper and copper compounds,281.69,TECK AMERICAN INC
402,RED DOG OPERATIONS - 99752RDDGP90MIL,2019,Air,Ammonia,216.45,TECK AMERICAN INC
403,RED DOG OPERATIONS - 99752RDDGP90MIL,2019,Air,Manganese and manganese compounds,41.72,TECK AMERICAN INC
404,RED DOG OPERATIONS - 99752RDDGP90MIL,2019,Air,Nickel and nickel compounds,35.79,TECK AMERICAN INC
405,RED DOG OPERATIONS - 99752RDDGP90MIL,2019,Air,Chromium and chromium compounds,32.07,TECK AMERICAN INC
406,RED DOG OPERATIONS - 99752RDDGP90MIL,2019,Air,Mercury and mercury compounds,27.3,TECK AMERICAN INC
407,RED DOG OPERATIONS - 99752RDDGP90MIL,2019,Air,Naphthalene,14.36,TECK AMERICAN INC
408,RED DOG OPERATIONS - 99752RDDGP90MIL,2019,Air,Dioxin and dioxin-like compounds,0.0024045525,TECK AMERICAN INC
409,RED DOG OPERATIONS - 99752RDDGP90MIL,2019,Air,Cyanide compounds,0.0,TECK AMERICAN INC
410,RED DOG OPERATIONS - 99752RDDGP90MIL,2019,Air,"Hexane, n-",0.0,TECK AMERICAN INC
411,RED DOG OPERATIONS - 99752RDDGP90MIL,2019,Air,"Trimethylbenzene, 1,2,4-",0.0,TECK AMERICAN INC
435,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2007,Air,Zinc and zinc compounds,18420.0,HECLA MINING CO
436,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2007,Air,Arsenic and arsenic compounds,481.0,HECLA MINING CO
437,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2007,Air,Lead and lead compounds,180.0,HECLA MINING CO
438,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2007,Air,Mercury and mercury compounds,5.44,HECLA MINING CO
439,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2007,Air,Antimony and antimony compounds,0.0,HECLA MINING CO
440,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2007,Air,Chromium and chromium compounds,0.0,HECLA MINING CO
441,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2007,Air,Copper and copper compounds,0.0,HECLA MINING CO
456,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2008,Air,Zinc and zinc compounds,18420.0,HECLA MINING CO
457,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2008,Air,Arsenic and arsenic compounds,481.0,HECLA MINING CO
458,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2008,Air,Lead and lead compounds,179.0,HECLA MINING CO
459,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2008,Air,Mercury and mercury compounds,5.44,HECLA MINING CO
460,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2008,Air,Antimony and antimony compounds,0.0,HECLA MINING CO
461,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2008,Air,Chromium and chromium compounds,0.0,HECLA MINING CO
462,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2008,Air,Copper and copper compounds,0.0,HECLA MINING CO
477,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2009,Air,Zinc and zinc compounds,18420.0,HECLA MINING CO
478,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2009,Air,Arsenic and arsenic compounds,481.0,HECLA MINING CO
479,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2009,Air,Lead and lead compounds,182.0,HECLA MINING CO
480,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2009,Air,Mercury and mercury compounds,5.44,HECLA MINING CO
481,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2009,Air,Antimony and antimony compounds,0.0,HECLA MINING CO
482,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2009,Air,Cadmium and cadmium compounds,0.0,HECLA MINING CO
483,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2009,Air,Chromium and chromium compounds,0.0,HECLA MINING CO
484,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2009,Air,Copper and copper compounds,0.0,HECLA MINING CO
501,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2010,Air,Zinc and zinc compounds,19440.0,HECLA MINING CO
502,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2010,Air,Arsenic and arsenic compounds,501.0,HECLA MINING CO
503,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2010,Air,Lead and lead compounds,191.0,HECLA MINING CO
504,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2010,Air,Mercury and mercury compounds,5.739999999999999,HECLA MINING CO
505,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2010,Air,Antimony and antimony compounds,0.0,HECLA MINING CO
506,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2010,Air,Cadmium and cadmium compounds,0.0,HECLA MINING CO
507,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2010,Air,Chromium and chromium compounds,0.0,HECLA MINING CO
508,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2010,Air,Copper and copper compounds,0.0,HECLA MINING CO
525,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2011,Air,Zinc and zinc compounds,19430.0,HECLA MINING CO
526,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2011,Air,Arsenic and arsenic compounds,501.0,HECLA MINING CO
527,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2011,Air,Lead and lead compounds,187.0,HECLA MINING CO
528,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2011,Air,Mercury and mercury compounds,5.64,HECLA MINING CO
529,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2011,Air,Antimony and antimony compounds,0.0,HECLA MINING CO
530,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2011,Air,Cadmium and cadmium compounds,0.0,HECLA MINING CO
531,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2011,Air,Chromium and chromium compounds,0.0,HECLA MINING CO
532,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2011,Air,Copper and copper compounds,0.0,HECLA MINING CO
549,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2012,Air,Zinc and zinc compounds,19430.0,HECLA MINING CO
550,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2012,Air,Arsenic and arsenic compounds,501.0,HECLA MINING CO
551,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2012,Air,Lead and lead compounds,188.0,HECLA MINING CO
552,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2012,Air,Mercury and mercury compounds,5.739999999999999,HECLA MINING CO
553,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2012,Air,Antimony and antimony compounds,0.0,HECLA MINING CO
554,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2012,Air,Cadmium and cadmium compounds,0.0,HECLA MINING CO
555,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2012,Air,Chromium and chromium compounds,0.0,HECLA MINING CO
556,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2012,Air,Copper and copper compounds,0.0,HECLA MINING CO
573,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2013,Air,Zinc and zinc compounds,19440.0,HECLA MINING CO
574,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2013,Air,Arsenic and arsenic compounds,511.0,HECLA MINING CO
575,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2013,Air,Lead and lead compounds,190.0,HECLA MINING CO
576,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2013,Air,Mercury and mercury compounds,5.739999999999999,HECLA MINING CO
577,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2013,Air,Antimony and antimony compounds,0.0,HECLA MINING CO
578,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2013,Air,Cadmium and cadmium compounds,0.0,HECLA MINING CO
579,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2013,Air,Chromium and chromium compounds,0.0,HECLA MINING CO
580,HECLA GREENS CREEK MINING CO - 99801KNNCT13401,2013,Air,Copper and copper compounds,0.0,HECLA MINING CO
